iter	Passed	Remaining
354	11584	151575
355	11621	151599
356	11655	151591
357	11687	151539
358	11719	151509
359	11751	151458
360	11781	151400
361	11812	151346
362	11848	151348
363	11882	151342
364	11916	151318
365	11944	151231
366	11980	151238
367	12016	151253
368	12049	151227
369	12079	151162
370	12112	151122
371	12141	151048
372	12178	151072
373	12210	151034
374	12246	151042
375	12280	151022
376	12320	151083
377	12349	150999
378	12378	150930
379	12407	150851
380	12440	150817
381	12472	150776
382	12501	150704
383	12538	150725
384	12566	150631
385	12599	150607
386	12632	150583
387	12662	150519
388	12691	150439
389	12728	150451
390	12761	150426
391	12791	150366
392	12818	150261
393	12850	150229
394	12883	150201
395	12921	150228
396	12953	150185
397	12987	150176
398	13016	150099
399	13046	150039
400	13078	149994
401	13111	149963
